job_id~job_title~company_name~company_location~pay_range~job_level~employment_type~job_posted_date~industry
3762343395~Data Architect (Canada Secret level Clearance required)~TV2 Consulting~Ottawa, Ontario, Canada~~Associate~Full-time~2023-11-18 13:48:41~Non-profit Organizations and Primary and Secondary Education
3888465274~Data Architect with Azure~Zortech Solutions~Toronto, Ontario, Canada~~Mid-Senior level~Full-time~2024-04-16 13:48:42~IT Services and IT Consulting
3980513030~Data Architect~Luxoft~Toronto, Ontario, Canada~~Mid-Senior level~Contract~2024-07-24 13:48:43~IT Services and IT Consulting
3996549174~Senior Data Architect~PrecisionERP Incorporated~Greater Toronto Area, Canada~~Mid-Senior level~Contract~2024-08-09 13:48:43~Insurance, Financial Services, and Capital Markets
3997530847~Data Solution Architect~Astek~Toronto, Ontario, Canada~~Associate~Contract~2024-08-13 20:48:44~IT Services and IT Consulting
3998884906~Lead Data Architect~Avanciers~Toronto, Ontario, Canada~~Mid-Senior level~Contract~2024-08-14 03:48:46~IT Services and IT Consulting
3982789330~UI Architect~Sophos~Canada~~Not Applicable~Full-time~2024-07-31 13:48:48~Software Development
3984740846~Solutions Architect (Hybrid)~Scotiabank~Scarborough, Ontario, Canada~~Not Applicable~Full-time~2024-07-31 13:48:48~Banking
3968766171~Data Architect-Canada~Zortech Solutions~Toronto, Ontario, Canada~~Mid-Senior level~Full-time~2024-07-15 13:48:49~IT Services and IT Consulting
3762343395~Data Architect (Canada Secret level Clearance required)~TV2 Consulting~Ottawa, Ontario, Canada~~Associate~Full-time~2023-11-18 13:48:49~Non-profit Organizations and Primary and Secondary Education
3938847750~Data Architect~Staples Canada~Richmond Hill, Ontario, Canada~~Mid-Senior level~Full-time~2024-08-12 13:48:52~Retail
3888465274~Data Architect with Azure~Zortech Solutions~Toronto, Ontario, Canada~~Mid-Senior level~Full-time~2024-04-16 13:48:53~IT Services and IT Consulting
3980513030~Data Architect~Luxoft~Toronto, Ontario, Canada~~Mid-Senior level~Contract~2024-07-24 13:48:53~IT Services and IT Consulting
3996549174~Senior Data Architect~PrecisionERP Incorporated~Greater Toronto Area, Canada~~Mid-Senior level~Contract~2024-08-09 13:48:54~Insurance, Financial Services, and Capital Markets
3997530847~Data Solution Architect~Astek~Toronto, Ontario, Canada~~Associate~Contract~2024-08-13 20:48:55~IT Services and IT Consulting
3998884906~Lead Data Architect~Avanciers~Toronto, Ontario, Canada~~Mid-Senior level~Contract~2024-08-14 03:48:56~IT Services and IT Consulting
3818357127~Senior Application Architect~Global Pharma Tek~Toronto, Ontario, Canada~~Entry level~Contract~2024-02-16 13:48:58~Public Relations and Communications Services
3984740846~Solutions Architect (Hybrid)~Scotiabank~Scarborough, Ontario, Canada~~Not Applicable~Full-time~2024-07-31 13:48:58~Banking
