job_id~job_title~company_name~company_location~pay_range~job_level~employment_type~job_posted_date~industry
3977740293~DevOps Engineer~Insight Global~Canada~CA$50.00/hr - CA$60.00/hr~Associate~Contract~2024-07-24 20:37:30~IT Services and IT Consulting
3999723025~DevOps Engineer~Themesoft Inc.~Toronto, Ontario, Canada~~Mid-Senior level~Contract~2024-08-13 20:37:33~IT Services and IT Consulting
3901379587~DevOps Engineer (Remote)~Firmex~Toronto, Ontario, Canada~~Not Applicable~Full-time~2024-05-16 20:37:34~Software Development
3982279979~DevOps Engineer~Insight Global~Greater Vancouver Metropolitan Area~CA$63.00/hr - CA$69.00/hr~Associate~Contract~2024-07-31 20:37:36~Retail
3932976055~DevOps Engineer~Sigmaways Inc~Toronto, Ontario, Canada~~Associate~Contract~2024-07-31 20:37:39~IT Services and IT Consulting and Computer and Network Security
3948426263~DevOps Engineer~Athennian~Toronto, Ontario, Canada~~Not Applicable~Full-time~2024-06-15 20:37:42~Transportation, Logistics, Supply Chain and Storage
3999927495~DevOps Engineer~Hays~Toronto, Ontario, Canada~CA$60.00/hr - CA$65.00/hr~Mid-Senior level~Contract~2024-08-13 20:37:43~Staffing and Recruiting
3891653561~DevOps / SecOps Engineer~Ndax~Calgary, Alberta, Canada~~Mid-Senior level~Full-time~2024-03-17 20:37:44~Non-profit Organizations and Primary and Secondary Education
3957563104~DevOps Engineer~Sync.com~North York, Ontario, Canada~~Mid-Senior level~Full-time~2024-07-15 20:37:45~Internet Publishing
4000358806~DevOps Engineer~Tundra Technical Solutions~Toronto, Ontario, Canada~CA$75.00/hr - CA$85.00/hr~Mid-Senior level~Contract~2024-08-13 20:37:46~Insurance
3903800237~AWS Engineer~Zortech Solutions~Brampton, Ontario, Canada~~Entry level~Full-time~2024-05-16 20:37:47~Human Resources Services
3918403507~Senior DevOps Engineer (DE) - Canada~Zortech Solutions~Canada~~Mid-Senior level~Contract~2024-05-16 20:37:49~Human Resources Services
3888464715~DevOps Developer- Canada~Zortech Solutions~Toronto, Ontario, Canada~~Entry level~Full-time~2024-04-16 20:37:53~IT Services and IT Consulting
3977740293~DevOps Engineer~Insight Global~Canada~CA$50.00/hr - CA$60.00/hr~Associate~Contract~2024-07-24 20:37:54~IT Services and IT Consulting
3999723025~DevOps Engineer~Themesoft Inc.~Toronto, Ontario, Canada~~Mid-Senior level~Contract~2024-08-13 20:37:55~IT Services and IT Consulting
3999927495~DevOps Engineer~Hays~Toronto, Ontario, Canada~CA$60.00/hr - CA$65.00/hr~Mid-Senior level~Contract~2024-08-13 20:37:59~Staffing and Recruiting
3891653561~DevOps / SecOps Engineer~Ndax~Calgary, Alberta, Canada~~Mid-Senior level~Full-time~2024-03-17 20:38:00~Non-profit Organizations and Primary and Secondary Education
3957563104~DevOps Engineer~Sync.com~North York, Ontario, Canada~~Mid-Senior level~Full-time~2024-07-15 20:38:01~Internet Publishing
4000358806~DevOps Engineer~Tundra Technical Solutions~Toronto, Ontario, Canada~CA$75.00/hr - CA$85.00/hr~Mid-Senior level~Contract~2024-08-13 20:38:02~Insurance
3903800237~AWS Engineer~Zortech Solutions~Brampton, Ontario, Canada~~Entry level~Full-time~2024-05-16 20:38:03~Human Resources Services
3918403507~Senior DevOps Engineer (DE) - Canada~Zortech Solutions~Canada~~Mid-Senior level~Contract~2024-05-16 20:38:04~Human Resources Services
3888464715~DevOps Developer- Canada~Zortech Solutions~Toronto, Ontario, Canada~~Entry level~Full-time~2024-04-16 20:38:07~IT Services and IT Consulting
3977740293~DevOps Engineer~Insight Global~Canada~CA$50.00/hr - CA$60.00/hr~Associate~Contract~2024-07-24 20:38:08~IT Services and IT Consulting
3999723025~DevOps Engineer~Themesoft Inc.~Toronto, Ontario, Canada~~Mid-Senior level~Contract~2024-08-13 20:38:09~IT Services and IT Consulting
3895076470~Cloud Engineer (x1)- Canada~Zortech Solutions~Canada~~Entry level~Full-time~2024-04-16 20:38:10~Human Resources Services
3999927495~DevOps Engineer~Hays~Toronto, Ontario, Canada~CA$60.00/hr - CA$65.00/hr~Mid-Senior level~Contract~2024-08-13 20:38:14~Staffing and Recruiting
3891653561~DevOps / SecOps Engineer~Ndax~Calgary, Alberta, Canada~~Mid-Senior level~Full-time~2024-03-17 20:38:16~Non-profit Organizations and Primary and Secondary Education
3957563104~DevOps Engineer~Sync.com~North York, Ontario, Canada~~Mid-Senior level~Full-time~2024-07-15 20:38:18~Internet Publishing
4000358806~DevOps Engineer~Tundra Technical Solutions~Toronto, Ontario, Canada~CA$75.00/hr - CA$85.00/hr~Mid-Senior level~Contract~2024-08-13 20:38:19~Insurance
3903800237~AWS Engineer~Zortech Solutions~Brampton, Ontario, Canada~~Entry level~Full-time~2024-05-16 20:38:20~Human Resources Services
3918403507~Senior DevOps Engineer (DE) - Canada~Zortech Solutions~Canada~~Mid-Senior level~Contract~2024-05-16 20:38:21~Human Resources Services
3888464715~DevOps Developer- Canada~Zortech Solutions~Toronto, Ontario, Canada~~Entry level~Full-time~2024-04-16 20:38:22~IT Services and IT Consulting
3977740293~DevOps Engineer~Insight Global~Canada~CA$50.00/hr - CA$60.00/hr~Associate~Contract~2024-07-24 20:38:22~IT Services and IT Consulting
3999723025~DevOps Engineer~Themesoft Inc.~Toronto, Ontario, Canada~~Mid-Senior level~Contract~2024-08-13 20:38:24~IT Services and IT Consulting
3895076470~Cloud Engineer (x1)- Canada~Zortech Solutions~Canada~~Entry level~Full-time~2024-04-16 20:38:25~Human Resources Services
3957563104~DevOps Engineer~Sync.com~North York, Ontario, Canada~~Mid-Senior level~Full-time~2024-07-15 20:38:27~Internet Publishing
4000358806~DevOps Engineer~Tundra Technical Solutions~Toronto, Ontario, Canada~CA$75.00/hr - CA$85.00/hr~Mid-Senior level~Contract~2024-08-13 20:38:28~Insurance
3903800237~AWS Engineer~Zortech Solutions~Brampton, Ontario, Canada~~Entry level~Full-time~2024-05-16 20:38:29~Human Resources Services
3918403507~Senior DevOps Engineer (DE) - Canada~Zortech Solutions~Canada~~Mid-Senior level~Contract~2024-05-16 20:38:29~Human Resources Services
3888464715~DevOps Developer- Canada~Zortech Solutions~Toronto, Ontario, Canada~~Entry level~Full-time~2024-04-16 20:38:31~IT Services and IT Consulting
3977740293~DevOps Engineer~Insight Global~Canada~CA$50.00/hr - CA$60.00/hr~Associate~Contract~2024-07-24 20:38:31~IT Services and IT Consulting
3999723025~DevOps Engineer~Themesoft Inc.~Toronto, Ontario, Canada~~Mid-Senior level~Contract~2024-08-13 20:38:35~IT Services and IT Consulting
3895076470~Cloud Engineer (x1)- Canada~Zortech Solutions~Canada~~Entry level~Full-time~2024-04-16 20:38:36~Human Resources Services
3918435656~SRE (Site Reliability Engineer) - Canada~Zortech Solutions~Canada~~Entry level~Contract~2024-05-16 20:38:37~Human Resources Services
3901595002~SRE (Site Reliability Engineer) - Canada~Zortech Solutions~Canada~~Entry level~Full-time~2024-05-16 20:38:38~Human Resources Services
3957563104~DevOps Engineer~Sync.com~North York, Ontario, Canada~~Mid-Senior level~Full-time~2024-07-15 20:38:42~Internet Publishing
